YEAR,VISIT_NO,PHSTVL,CL,NO3,LAT_DD,LON_DD,URB_NLCD,AG_NLCD,FOR_NLCD
1993,1,6.87,143,3.8,40.55225,77.96220833,0.007864,3.842654,92.065734
1993,1,7.48,49,35.7,39.90438889,78.53193611,0.01089,23.623226,76.271502
1993,1,7.42,81,37.6,40.044775,78.29421944,0.014809,12.768761,86.240935
1993,1,8.23,48,43,40.39678056,77.6431,0,4.972636,94.99926
1993,1,5.58,30,38.3,40.08523333,78.19007222,0,0.039779,99.920443
1993,1,6.95,35,11.9,40.13365278,77.63965833,0,7.012745,92.987255
1993,1,8.1,1242,36.8,40.26504444,76.99959167,9.054756,71.699873,18.890329
1993,1,7.06,99,141.3,40.59294444,76.31335556,0.056023,28.217814,71.446046
1993,1,7.36,137,121.1,39.98985,77.25260556,0.160497,38.838773,60.134594
1993,1,8.11,27,4.1,39.99618056,77.98662222,0,21.037322,78.962677
1993,1,7.18,118,13,41.797475,78.46566667,0.325944,7.582856,91.220549
1993,1,7.33,520,28.2,41.67248333,78.8038,31.214604,5.14234,63.526336
1993,1,6.33,129,84.5,41.33208056,79.50516944,0.78554,37.633284,59.735618
1993,1,5.99,215,7.5,41.78933611,79.24826111,0.131542,5.73274,94.135718
1993,1,6.57,266,67.8,41.22883889,79.51870556,1.324819,39.748689,57.711154
1993,1,3.94,121,80.1,41.27065278,79.3585,0.381456,16.509277,82.049675
1993,1,8.22,960,53.7,40.45508889,78.68429167,3.410807,20.403675,74.287758
1993,1,7.47,1898,20.7,40.48245278,79.31066944,0.90289,24.378744,72.81006
1993,1,8.48,253,33,40.2838,78.93133889,1.309907,13.706414,84.546672
1993,1,4.96,635,89.8,40.04537778,78.81056944,2.377529,0.18629,68.014116
1993,1,7.22,774,485.6,39.87383333,79.26331111,0,77.304307,20.501092
1993,1,4.66,59,15.2,39.91996944,79.5704,0,0.149702,99.850297
1994,1,7.23,46,17,41.95,75.3668,0.141886,11.372786,84.016867
1994,1,7.11,369,32,41.1011,75.2671,6.55659,3.774104,87.182838
1994,1,7.32,441,55,40.2918,75.2059,3.14041,48.180017,45.320188
1994,1,7.23,112,36.5,40.2251,75.854,0.135173,16.228168,81.881867
1994,1,6.41,26,1,41.4809,76.3498,0.549904,6.293363,89.119516
1994,1,6.57,14,4,41.0028,77.2609,0,1.856473,98.143528
1994,1,7.23,300,573,40.5751,76.8885,0.264036,76.387082,22.640075
1995,1,5.9,26,31.7,40.5439,77.4795,0,0.438769,99.561231
1994,1,6.81,24,33,40.0487,77.766,0,0.14875,99.581574
1994,1,6.83,317,722,39.7701,76.0781,0,88.167302,11.722761
1994,1,7.79,986,3.5,41.9476,80.4482,3.612724,30.988277,58.775381
1994,1,6.73,91,49,41.7841,78.0508,0.075778,26.630955,72.738026
1994,1,6.36,26,9.8,41.6542,79.3203,0.002845,0.423141,97.91335
1994,1,7.07,290,20,41.6936,78.6929,3.287541,22.515402,74.104819
1994,1,6.85,617,33.8,39.8676,79.6935,0.753139,1.713112,96.789271
1994,1,7.86,239,170,40.6541,80.4555,9.870642,65.612781,24.516577
1994,1,7.62,757,92.7,40.7506,79.8416,2.78165,60.831002,36.317836
1994,1,6.89,127,7.2,41.30758056,75.2824,0.184897,7.596554,87.820482
1994,1,7.01,125,30,40.93149444,75.3341,1.216658,14.829241,80.185655
1994,1,5.86,148,0.5,41.16567778,75.7122,0.107449,1.481539,94.785841
1994,1,6.72,500,16.3,41.24040556,75.5041,6.552409,2.843447,75.536163
